Rounded P,"T, C",Data Source,mNaCl_rounded (group),"mNaCl, mol/kg",mNaCl_rounded,"P, bar",Ref,"solubility_experimental, mol/kg (bin)","T, C (group)",Temperature,"mCO2, Exp, mol/kg",Round_T,"Solubility Est New, Mol/Kg","Solubility Est Old, Mol/Kg",Solubility_estimated_Duan_Sun,"Solubility_estimated_XGB, mol/kg","solubility_experimental, mol/kg","T, K"
39.1,40.03,"Carvalho et al., 2015",0.5,0.5,0.5,39.1,,0.7,45,40.0,0.666666667,40,0.676358855,0.677258829,0.68,0.68,0.67,313.18
64,40.03,"Carvalho et al., 2015",0.5,0.5,0.5,64,,0.9,45,40.0,0.944444444,40,0.942891598,0.944271318,0.94,0.94,0.94,313.18
31.3,60.09,"Carvalho et al., 2015",0.5,0.5,0.5,31.3,,0.3,60,60.0,0.388888889,60,0.414738832,0.415146371,0.42,0.41,0.39,333.24
97.5,60.09,"Carvalho et al., 2015",0.5,0.5,0.5,97.5,,0.9,60,60.0,0.944444444,60,0.910480896,0.912273334,0.91,0.91,0.94,333.24
59.8,60.09,"Carvalho et al., 2015",0.5,0.5,0.5,59.8,,0.7,60,60.0,0.666666667,60,0.687074173,0.686784747,0.69,0.69,0.67,333.24
39.6,79.97,"Carvalho et al., 2015",0.5,0.5,0.5,39.6,,0.3,80,80.0,0.388888889,80,0.399980044,0.403299055,0.4,0.4,0.39,353.12
77.8,79.97,"Carvalho et al., 2015",0.5,0.5,0.5,77.8,,0.7,80,80.0,0.666666667,80,0.674311289,0.675229783,0.68,0.67,0.67,353.12
125.3,79.97,"Carvalho et al., 2015",0.5,0.5,0.5,125.3,,0.9,80,80.0,0.944444444,80,0.877614410,0.881820591,0.88,0.88,0.94,353.12
17.8,19.85,"Carvalho et al., 2015",2,2,2,17.8,,0.3,20,20.0,0.388888889,20,0.398923104,0.397828353,0.4,0.4,0.39,293
105.9,19.85,"Carvalho et al., 2015",2,2,2,105.9,,0.9,20,20.0,1,20,0.991575899,0.975668498,0.98,0.99,1,293
37.6,19.85,"Carvalho et al., 2015",2,2,2,37.6,,0.7,20,20.0,0.722222222,20,0.719908244,0.719730278,0.72,0.72,0.72,293
30,39.85,"Carvalho et al., 2015",2,2,2,30,,0.3,45,40.0,0.388888889,40,0.415910979,0.411831721,0.41,0.42,0.39,313
67.5,39.85,"Carvalho et al., 2015",2,2,2,67.5,,0.7,45,40.0,0.722222222,40,0.719214907,0.723647151,0.72,0.72,0.72,313
44.1,59.85,"Carvalho et al., 2015",2,2,2,44.1,,0.3,60,60.0,0.388888889,60,0.414275460,0.417032452,0.42,0.41,0.39,333
106.4,59.85,"Carvalho et al., 2015",2,2,2,106.4,,0.7,60,60.0,0.722222222,60,0.722217759,0.712722962,0.71,0.72,0.72,333
57.2,79.85,"Carvalho et al., 2015",2,2,2,57.2,,0.3,80,80.0,0.388888889,80,0.418888451,0.414101879,0.41,0.42,0.39,353
142.9,79.85,"Carvalho et al., 2015",2,2,2,142.9,,0.7,80,80.0,0.722222222,80,0.714156307,0.704524116,0.7,0.71,0.72,353
